First,Second,Count
ROSY,GRAY,510
NOSE,SLIT,3600
FAST,BULK,305
AJIT,SING,593
OHIO,ALSO,4049
CROP,PEAS,118
LAKE,PIER,144
CASE,LOAD,49229
FUST,TIME,5469
SAME,PACE,64576
WILL,ONLY,2748412
SHAM,RTMS,288
KANG,CHAN,59
YOUR,WYLL,224
JOYS,WITH,8626
BOYS,FROM,326701
FROM,ISLA,5337
GLEN,ROCK,11994
EYES,WITH,832098
WARR,DIED,63
RAID,GAVE,796
MADE,FEEL,1470
FINO,WITH,179
WITH,LVAN,201
BELT,WHEN,12514
GUNS,OVER,14513
OVER,LACK,7518
SAYS,TITA,872
HARD,WANT,255
HIDE,THEM,140609
WITH,ESSO,2215
ODOR,WITH,10512
FROM,EACH,6917340
GAPS,FORM,768
SHOW,DOLL,76
EACH,POSY,68
FROM,WHAT,6304806
THEY,OBEY,88275
BOTH,TITO,1041
BIRD,WITH,182714
KNEE,PAIN,46657
RISE,PLUS,716
ANNE,WENT,14137
PINE,TYPE,7049
TURN,BEEN,31381
MISS,BOYD,6948
NEXT,LINE,261726
MINE,WARS,1299
KELP,BEDS,18860
LEFT,MARY,8035
EVEN,BEEN,793671
AGES,MOST,5476
JFEW,YORK,692
ITEM,RANK,587
TURF,BANK,1297
TOIL,DONE,232
SABA,WERE,915
THEE,HEAR,1677
RICH,FLOW,4591
KEEP,WINE,1695
RUDE,DEAL,144
LOSE,TIME,61536
NEAT,FILE,473
SOON,TURN,37790
TOOL,AIMS,342
FLEW,FAST,5497
CALL,ADAM,2345
VERS,USED,69
TAKE,SEED,2053
FIND,WIDE,19980
DONG,OVER,128
FALL,ADAM,1429
KAZI,WILL,137
NINE,JOIN,45
KEEN,WILD,171
YOUR,BANK,181543
FAST,EXIT,2809
PEAT,JUST,197
BEET,PULP,26084
THAT,WOTS,61
YOUR,LIFE,5264309
FOLK,THAT,39950
SAME,WITH,1255216
PLUS,STAY,83
FROM,LANZ,319
ARCH,ORAL,15657
CALL,SOME,41069
INTO,DANK,805
WERE,SOLD,1176167
ONLY,CLAD,987
BURP,YOUR,790
KAYE,ONLY,56
FROM,NENE,270
EVEN,RUNS,4131
WAGE,JOBS,44391
KOHL,SOON,54
FATE,FORM,227
MOVE,WEST,40132
XXII,WHAT,647
THAN,SEND,25356
WORD,SATI,597
READ,PART,32422
PLAY,WENT,16609
TIME,RUTH,3985
WERE,SENT,3307726
THAT,NEED,1428870
DOWN,GAIT,225
JUST,LONG,186073
DATA,LIST,42626
TEST,YOUR,306871
POMP,TILL,64
TRUE,BUGS,11805
CORE,GENE,1132
WERE,FILM,3254
BLUE,THAT,58669
DARK,WAVY,8302
KEEP,THEM,2915776
REST,PLAY,710
INTO,JAIL,80928
OVER,ADAH,90
SEEM,DEAD,6294
WHEN,THEN,38455
RATE,BLUE,404
POOL,NEAR,12400
WITH,FORM,137964
MORE,FALL,6960
THAT,THIF,162
MAEL,SAID,253
THIS,PIER,12271
WAYS,APES,44
GRIP,THAT,37139
THIS,ROLE,820738
EAST,GUDE,87
BONE,FIDE,2693
OVER,SWIM,88
MEAN,LUNG,1488
REED,MARY,121
HYMN,THAN,1165
SOME,WAYS,1655037
TORN,EACH,1519
TRAN,NHAN,784
DATE,LEFT,3734
CULT,ITEM,576
LIKE,WERE,49543
WITH,SUSO,413
WALD,TOLD,231
MALE,HELP,3438
OOZE,ALSO,92
THEY,KNEW,3965764
MORE,BANS,189
KICK,FROM,29236
KADI,THAT,254
FULL,OVER,6432
ICON,NOTE,94
WITH,ILEX,1750
LOST,WERE,24226
LOST,ANNA,355
HERE,MINE,882
KNEE,HILL,164
ANNE,MADE,8156
GIVE,MISS,13127
YEAR,PLAN,1283251
DENY,THIS,219180
DOTH,THEM,4641
GOOD,LIFT,3090
WORK,BEAR,3729
WIRE,UPON,5253
TIME,USER,9501
MILE,BEAM,87
CART,FROM,19720
WERE,SLUM,891
HARD,BALL,17075
IDLE,PART,2598
ONLY,FOGS,164
ABBE,WENT,1275
OILY,HALF,89
TELL,PAPA,14345
WILL,FORM,744575
FLED,THAT,7230
FORM,UREA,3655
WOKE,FULL,328
SENT,DOWN,510707
MDER,SUCH,47
LAVA,WAVE,121
YOUR,BAIL,4694
DEER,KIND,3151
WERE,HALF,308264
EDIT,TYPE,1381
ADAM,WENT,9151
OPEN,CAST,12709
THEM,INTO,7036591
THUS,VOWS,177
EYES,FROM,617461
EXAM,VARY,42
JING,LING,177
ERGO,BONI,46
TAKE,HIGH,25282
LIKE,GOOD,171032
ONCE,BATS,41
MEAN,VEDA,49
VOUS,VOIR,9520
FLOR,BAJA,62
ONLY,MAKE,610283
FROM,ROUS,1569
GIVE,AWAY,506751
FLOW,WILL,119468
WERE,CAST,408352
UTAH,UTAH,6241
MIND,KEPT,36116
ALEC,INTO,497
LOVE,THRO,288
WERE,GEMS,2932
RAVS,WERE,86
WERE,THIS,278269
GOOD,RAPS,188
TELL,WHAT,998942
LIKE,RATS,53750
KIDS,SOON,1336
YOUR,KIND,449967
MAMA,SAYS,27420
VEIN,SITE,594
READ,THAT,1006611
DAMN,SLOT,40
WILL,HAVE,24148596
LINE,BUSY,2302
HAVE,HULL,490
MAIN,PEUT,138
THIS,CALL,275785
THAT,LILL,246
WOVE,AWAY,151
GENE,POOL,148735
PLOT,PLAN,18821
CARD,UPON,9227
WITH,ANEW,2046
USED,BEER,1182
CAMP,HAVE,11535
WHEN,WORK,172142
POOR,SICK,30101
THAT,ARLA,204
BLOW,DEEP,325
OVER,THEM,2621262
MORE,WENT,27396
KEEP,YOUR,2224017
OLGA,SAID,7427
EVEN,TOOK,152272
IRON,AMID,107
HAWK,LAKE,1674
BOOK,FORM,346116
SEES,GREG,61
MORE,MUST,131536
MAKE,HANG,167
CARD,ALSO,10375
POOR,BALD,916
PLUS,LINE,4644
SOME,DAMN,26725
WORK,BOOK,16287
FROM,RAGS,24402
WITH,AAUW,71
BIKE,HIKE,616
REAL,PIMP,226
DEAR,ROSE,8114
GOOD,LOOK,361879
URNS,THAT,3738
JOWL,OVER,97
TOLD,THEM,3832935
SAID,TULA,181
FORE,JEER,166
WELL,TEST,9574
RODE,AWAY,193640
MOST,PART,6773244
GIVE,RANK,1292
ELLS,FROM,1136
CLAY,MORE,3462
BIKE,BACK,5588
HUGE,HOLE,18866
FORE,LIKE,384
ANTE,PIOS,62
BEAD,CAPS,482
SENT,FIVE,26885
PRAY,THIS,26891
SAID,DEED,34259
FEAR,CAST,891
LEAF,TREE,1951
JOIN,FIRE,134
LINE,SOME,18395
FORD,GAVE,6502
SEIN,DOES,213
KNOW,MUCH,509916
WOOF,SOME,41
CITY,SEND,1402
WITH,QING,1604
LEAD,SHOT,30888
FULL,THAN,15082
THIS,TIME,31888879
TAWY,WILL,44
MAIN,RIFF,568
DARK,NEXT,1436
AUNT,THEN,2032
OPEN,ELSE,95
DOCH,OHNE,1263
RUTH,DUCK,371
THIS,CASE,20208343
POOR,AXEL,69
BAND,CALL,1037
BEEN,LADY,8135
THIS,BIRD,414042
FIRE,MAPS,597
WITH,MEWS,264
FEET,MERE,103
CURE,FOUL,44
WELL,STAY,28844
THEN,AMIR,816
MUST,HARE,11131
ANGE,WENT,127
BERT,ROSE,527
WITH,ANET,163
BAYS,BURN,47
TIDE,PLAY,286
LAWS,OVER,19370
HERE,ONLY,509341
WIDE,THAN,9303
LEFT,SLAB,302
WEAR,FULL,8474
BARR,AMES,2927
THAN,MAIN,10803
FAST,UPON,43802
SUIS,SUNT,119
VAST,DIAL,181
GARM,TOOK,48
FROM,RELA,248
MEAD,AREA,685
PLAY,INTO,131146
ROOM,AWAY,14082
ENIM,SUNT,5844
FACE,GAVE,29286
WITH,PUNI,59
MILK,FELT,105
WEED,FELT,220
HERO,KNEW,1598
GIRL,LOSE,583
CONE,SEEN,317
WURM,ALSO,92
WITH,THEM,22460559
SUED,REED,84
WALK,SOME,13910
CASE,BODY,1235
ALSO,SUIT,5024
LADD,MADE,369
MIND,OVER,133612
JULY,WERE,19236
HAVE,FELT,2231183
EVER,SANG,8833
FROM,FIVE,817284
TINY,OWLS,231
HUGE,RUIN,1032
THAT,SCAR,22087
RUNS,OVER,132372
WELL,PAST,150894
YOUR,DUTY,458988
HAVE,JOBS,80246
WHEN,CAST,30769
HAND,FROM,519287
THAN,YOUR,824138
EVER,WORN,22054
CAPO,VERD,43
VIEW,CELL,1544
MASK,MUST,7828
TONS,WERE,97822
THAN,ERIC,3640
THEN,TAKE,784557
TOOK,PREP,53
FUEL,LIFT,589
HALL,USED,9507
CODE,WERE,42577
WALL,HALF,2491
TRAP,NEST,1777
PAST,WARS,25200
DIED,JULY,97553
ROSS,FELD,352
VERY,DULL,150354
GETS,VERY,82542
TYPE,FACE,35861
MUST,FELL,1269
YORK,FANS,2949
NEST,TAKE,269
WELL,FACE,19203
MUST,ROLL,14480
GRAY,OOZE,912
LION,BAIT,382
MAKE,FIVE,57180
SOME,GUNS,35789
FOUR,CLAN,594
LEAR,WITH,6623
THEY,COUL,564
LYNN,INTO,720
THIS,FIRE,193506
RICO,PORT,111
BOOK,DEBT,4725
CITE,RISK,55
SOME,TIME,14478711
BORI,WERE,73
FOAM,OVER,8024
GOLF,CARD,298
WELL,DASH,173
ACAD,EMIC,107
BOYS,CLAP,160
UPON,EAOH,141
HILL,THAT,147366
PORK,STIR,924
KEPT,FAIR,1500
JEWS,WITH,110046
PAGE,COLD,159
CLAY,KNEW,4066
CARE,YOUR,8049
CHIH,HAVE,139
FANS,HIGH,222
ALSO,MANY,534375
OTIS,ROSE,276
THAT,GIFT,103500
WELD,OVER,554
GAVE,JOSE,675
WITH,WHOM,7834714
MAIN,ITEM,28395
WILL,JIND,281
ACTS,DEAL,1325
BEKR,TOOK,85
ASIA,HOPE,76
THAT,ONIS,635
DEAR,ALGY,895
COME,LACK,284
LOWS,OVER,1387
WADE,OVAL,237
PASS,WELL,8222
FETS,WITH,2065
HAVE,JUST,4054726
PEAK,STAR,54
TIME,MADE,226449
THEY,GROW,967979
MTJS,WITH,137
WITH,ANKE,218
WASH,FROM,24969
NEWS,SUCH,4734
ROOF,FILL,303
THIS,ROOM,1180690
ONES,HERE,28021
ALSO,IVES,376
RASH,DIED,51
REAL,HULL,145
TAKE,SOAP,780
LORD,STOP,269
DEAR,KING,8691
HUGE,SETS,1572
BEES,FORM,1234
BARE,ROPE,63
LIKE,BRER,2345
WIND,WITH,87886
HIGH,BULK,10041
MORE,FEET,69585
FIVE,ACTS,92467
LIVE,NITS,78
PURE,EYES,9870
BULL,NEXT,395
PAIN,WITH,224360
LUCY,FELL,1237
JOHN,REED,87499
HEAD,ALSO,30110
SHOW,THAT,16539054
PRAY,TELL,92430
WIND,ROSE,53168
FEED,THIS,30961
TEAM,FELT,11601
WELL,SWAP,61
COAL,SIDE,303
WITH,EACH,10652561
UPON,FROM,69413
FIVE,WIRE,1372
NOTE,FROM,678388
NAMA,HOTI,88
ROSE,IROM,112
FAKE,OWLS,94
INTO,NINE,122906
TIDE,DOWN,2264
HAYE,SEEN,780
JUNE,BORE,143
HOLT,CAME,1783
PETR,GINZ,389
HAGS,FULL,54
TOOK,EACH,52427
EVEN,NEON,273
ELSE,BIND,134
SOME,USES,60438
HELL,FROM,26024
THUS,ALSO,303474
MISS,ORAM,265
USED,SPAN,167
DOWN,RACE,1672
SHOT,PLAY,449
EACH,ARCH,22711
CURE,TIME,11639
EDEN,DREW,483
BUCH,KANN,506
HERE,OURS,136
STAR,HELP,104
THAT,LAND,837544
ROPE,KEPT,918
OVER,ROWS,4868
KEEN,WAYS,52
USED,MORE,563309
CYAN,BLUE,2122
THAT,GABE,5633
KEEP,UPON,10325
SHRI,RANG,355
HARD,THAN,15990
FATE,ADDS,124
LEAD,KATE,179
ROSE,MARY,25107
THAN,AREA,8385
GONE,WILL,6598
SEEN,MANY,358250
THEY,TALK,582535
DYKE,ALSO,655
WEEP,WHEN,24866
CODE,SEAL,2323
TERM,WABI,108
SANG,FROM,19225
HERE,WITH,1933405
MAKE,KUHN,106
WITH,NAHA,97
TELL,RHYS,126
ARMS,HIGH,18008
IRON,NEAR,4794
DUCK,FEET,2094
YORK,FILM,20058
WITH,AMIS,1590
THEY,BABY,1048
SAME,KIND,2318465
GROW,UGLY,1474
STEM,FROM,883666
PLUM,SILK,461
DATE,WITH,434577
TRIP,NEAR,1853
VERY,TAUT,3677
WARS,HEAT,135
SULD,MUNT,41
CASH,SUMS,2623
MILE,HIKE,23150
RISE,INTO,134391
WOOD,THUS,3245
JUST,HOMO,207
THAT,NASA,28108
MEET,EACH,164312
LIVE,AMID,13276
BASS,FROM,12872
WORK,HOUR,6613
WHEN,RAIN,56681
VARY,WITH,1310352
JUST,MADE,496649
LOON,HAVE,207
SHUT,DOWN,1044632
LOSE,WHAT,61780
SHOW,RATE,2374
MADE,FAST,177168
UNIV,FISH,85
FOUR,ROPE,816
DATA,SILO,92
HEAT,FLOW,370548
JUST,GOOD,81023
BALD,ALSO,213
SOUL,DOES,64624
HURT,REAL,4280
INTO,DAVE,2917
CROW,JOHN,143
DART,DRUG,930
SUCH,ODDS,30356
CANE,FIJI,67
WHAT,EDNA,1559
GAVE,STAN,642
WEAR,FAST,463
WITH,ONLY,5229370
BULK,LEAD,452
NAYA,GAON,225
JUST,ABLE,52249
THAT,IGWE,122
WILL,ANNA,564
RARE,PLAY,891
THIS,MINX,624
SOIL,PAYS,150
NERS,FROM,201
GIRL,DEAD,2776
VAIN,HAVE,17587
DATA,SAME,1307
NEED,TELL,8853
BUMP,THEY,472
JAIL,GREW,144
DARE,FARE,103
ACID,DOES,40436
BEAR,THAT,197084
ITEM,BANK,7007
UPON,THAR,61
SUCH,HARD,69291
WERE,GRAB,255
LOST,MORE,174715
BODY,ODOR,48861
FINE,GATE,1269
EVEN,DAME,752
SAID,OVER,155908
WITH,TOYS,78881
ZARA,SAID,1871
ALLE,ARMI,475
WAYS,GOOD,2281
THIS,GAIT,8958
MILK,EACH,9674
ONCE,MORE,10441283
FRED,LANG,342
PREY,SEEN,194
MOST,WERE,599812
THAT,DEAD,100546
THAT,WEST,130100
MILE,INTO,23349
VIII,PACE,159
LANE,DIRT,2502
TELL,FAYE,280
WHEN,PUSH,23152
SNAP,BACK,31661
COPE,THAN,1564
PINS,MADE,3867
USER,FEES,84778
THIS,TURN,187519
REST,THEM,18784
CREW,HAND,430
BANK,WALL,1655
HOUR,THAN,49811
THIS,BENT,13119
KING,JOIN,493
TIME,KNIT,377
FROM,ANTE,2858
GONE,LONG,49400
FAIR,SKIN,72373
NOLO,ESSE,69
DOME,RING,299
WITH,ASCE,510
WIND,PICK,922
CAMP,POPE,739
IAIN,DOWN,433
WHAT,KEPT,77984
ROLL,WORN,159
SONG,RISE,579
EXIT,POLL,20822
MEET,IVAN,468
NIUE,COOK,54
FIRM,WILL,300600
WERE,LYON,326
SLOW,LATE,257
BEEN,FORE,2457
SOLE,KING,13451
PALE,SEAL,303
MENT,KNEW,144
LEND,HIGH,274
BRAG,THUS,201
WITH,MORE,7730213
THOU,SOME,3420
VEST,OVER,8769
WALK,INTO,483453
WITH,YHVH,275
SUCH,DATA,548956
EVEN,PUSH,7696
NUDE,CULT,60
LORE,THAN,6841
BOND,WENT,2488
JUMP,OVER,131060
OPEN,POOL,3442
SUCH,VAST,141077
LAST,HOWE,218
COIN,TYPE,6878
EACH,RAIL,14457
CAKE,LAST,738
SOME,FROM,368321
BOYS,CLUB,21344
AMOR,FROM,322
SCOM,WITH,58
SITE,THEM,1468
RANK,THEY,18342
WHEN,JILL,10040
FLAT,WHEN,30154
ONLY,JUST,1197690
AXIS,WIRE,139
HEAD,LOSS,70226
THAT,CLAW,1914
LOST,LOVE,80299
BOSE,JUST,55
THAT,SAFE,45484
MAIN,MASH,968
EYES,OVER,91851
PORT,DIED,109
POPE,TOOK,16857
GREY,BIRD,6414
ROME,THEY,21997
TRIP,HOME,89664
UNIT,MOST,5778
NICE,LEAD,552
HIRE,SHOP,1083
LIDS,LIKE,2085
GODS,WORD,12976
TROM,FORM,97
GRIM,THAT,4497
SAID,FISK,933
THEY,KEPT,1090851
THAT,THOU,1414826
BOTH,BLUM,334
ANTS,GAVE,256
CUES,LIKE,3610
TUBE,TIME,940
SLOW,DAWN,1613
GRID,WAVE,217
HAND,LIFT,3814
BREV,TILL,1865
TILL,NEXT,127498
TILL,THAT,243109
DEUX,VOIX,1327
THAT,EACH,7314492
MAYA,ARCH,648
WITH,CALF,19846
THEN,MUST,251557
EVER,SEEN,2660098
HAVE,PEEN,895
WHAT,BOSS,1115
FEAR,SELF,1065
BENT,DOWN,515609
UPON,BOLD,1320
MARK,COLE,584
ARMY,WITH,330991
ONLY,DOGS,9752
DOOM,WITH,9661
COPY,EDIT,2708
ROAD,SUCH,2923
BUFF,JARS,92
KNOW,BOTH,86304
WITH,GEDE,79
SOME,GAIN,28182
MILL,BEST,119
COPY,BACK,5578
MARY,MISS,2057
PALE,FACE,286883
GREY,HAIR,156982
FACT,SORT,2025
LING,THEM,617
DAMP,MOOR,87
CAME,KARL,405
BEST,AGES,6358
BOTH,LOAD,6346
VINE,DOES,2668
WILL,CHEW,8221
FILM,FROM,116219
WEST,WING,122985
PAST,NEAR,1311
SCSI,RAID,526
BOLD,CROW,112
FREE,SUIT,523
TUAN,HAJI,2153
THAN,RICK,1892
WIFE,IRMA,515
ALTA,SAYS,186
NEST,RIEN,351
VERN,CAME,314
WINE,PINT,1025
ERIC,THEY,201
CALL,THIS,1226966
SHIT,WHAT,8343
SNAP,RING,32397
FORM,ONTO,4810
ANNA,BELL,1989
WHEN,EBEN,1250
WIND,KILL,48
ITEM,LIST,26011
EACH,TOOK,92586
WIRE,WORM,1905
FROM,RHYS,1838
COOP,NEAR,347
TOWN,JUST,46259
MOON,SAID,12669
FAIN,HANG,84
LIST,STAY,55
WHAT,LOTS,3890
THEM,WEEK,2116
TEEN,FILM,1137
DUTY,MORE,17802
THAT,HAVE,20207011
WITH,VADA,132
FARE,SUCH,6058
SAYS,NOPE,45
JUST,MESS,2782
TIDE,AWAY,1166
BEEN,LATE,58051
LOST,LIIS,148
ALSO,TARN,228
BODY,SCAN,11286
PART,OVER,34729
COLD,TOMB,2812
JEFF,SAID,50477
ENVY,THAT,34765
TIME,FUST,119
WHEN,WERE,93261
EVER,ABLE,64309
MAKE,WIDE,13319
SAXS,DATA,2189
SONY,DATA,353
ATAN,ATAN,79
EACH,GYRE,412
TEET,WIDE,239
MILK,GOES,3845
PRIS,SOUS,484
ROME,MUST,21346
HELP,BURY,3600
THIS,WIND,87621
MOST,HELP,28120
DIAL,WORK,634
WIFE,LEAD,950
FROM,BEDR,201
WITH,DUMB,15900
AWAY,WHAT,112094
ALSO,VIEW,40384
THAN,LINE,30595
FINE,PONY,1035
VOTE,ALSO,7221
WITH,CRNA,517
FREE,FROG,108
BELT,LOOP,10076
NOOR,ALAM,166
ETAT,VERS,56
FITE,HAVE,60
VERY,MUCH,15100504
CARE,KEPT,1275
LOUD,BILL,133
CAVE,ADDS,103
SOME,RDAS,70
MADE,SONS,4164
XNEW,YORK,346
FROM,CORE,45413
THAT,OMOO,279
ESHU,THAT,55
THIS,MILL,78672
ALIA,MANU,869
FROM,PARK,35741
EVEN,ARAB,2425
NAME,DATE,91941
STEP,FIVE,32424
AYUB,MADE,521
GREW,EASY,1014
SAMO,ROOM,45
ELSE,FIND,7733
BODY,COPY,28794
TAXI,THAT,13562
KEEN,THEM,164
SAME,DUAL,7788
YOUR,STEP,69862
THAN,THEN,33883
TEOS,WITH,399
FROM,ATEA,137
FINE,PINE,2480
WITH,ESEM,81
AIDE,SOON,187
SOME,ONES,3111
DEAN,BECK,121
VIEW,TIES,438
LACK,BOTH,34664
MDCT,WILL,78
SAME,MILK,7232
PREY,SEES,95
EVEN,NAZI,2075
PACE,WITH,1016360
SOME,LIPS,1460
THAN,LYON,590
RAIN,MOST,2937
VOLT,RAYS,109
EACH,CASH,11218
DART,OVER,3255
MORE,CASE,22925
SAME,POSE,13321
THIS,WERE,1462206
NECK,LINE,6801
TOWN,IDOL,253
CHEW,SUCH,538
THAT,SHUT,53878
WEST,SWAN,252
BANK,ALSO,54913
FROM,OECD,23584
THIN,NAIL,1324
SOUL,MUST,119296
WORN,FROM,35655
CITE,WITH,4416
WOES,GROW,158
MOST,SUFI,627
WITH,ODOR,5785
OWED,WHEN,2044
FOUR,ADEN,49
FIRM,BASE,45190
AUNT,MAMA,280
TOOL,TIPS,9993
OVER,RIDE,1296
LEGS,WITH,174010
BENT,HIGH,345
EACH,POST,50483
OTIS,GAVE,828
EACH,BABY,22046
NORA,LAID,169
TINY,POOP,136
ALSO,KIND,15048
THAT,OHIO,23098
THAT,MORE,3267759
SOME,CROP,11780
WANT,PAUL,2241
CHIN,PENG,15705
FIND,TIME,281480
MASK,UPON,3390
WIFE,HIRE,118
BOYS,POUR,380
ROBB,SAID,1986
JUST,SALT,1722
VETO,JUST,225
BILL,THIS,18859
LAWS,SAVE,1442
FROM,GORD,163
AGEE,WENT,318
BEEN,LOET,43
SKIS,FREE,492
CASA,THEY,77
FORM,ONLY,210385
WANT,FRED,707
HATH,HALF,941
HOLD,SNAP,188
SEEU,THAT,441
LEFT,DEAN,570
WITH,PRTS,77
THEN,WAST,473
REAL,DUTY,10257
HEEL,MADE,891
ENDS,WILL,37062
FELT,SHUT,4677
MARK,NEXT,22913
FELT,TESS,96
WELL,WITH,3126426
BOAT,VOTE,61
TALE,LIES,2753
GCHQ,CASE,1260
PART,ENDS,7507
LOSS,THAT,271327
WHEN,FLOW,19408
WELL,NEED,26186
TEND,MORE,59596
HOPE,YOUR,176755
OFLE,MANS,78
RICH,KING,5370
FOOD,VERY,11431
FROM,KEEN,5176
SOME,BROW,307
MARY,MAKE,1849
LAWS,MEAN,3901
SAYS,RATS,93
ALTO,MADE,216
ALSO,REST,16434
ONLY,VITO,43
GIRL,MUST,62859
BALE,DOWN,284
BIRD,AWAY,5606
BODY,READ,1233
JOBS,WITH,194614
WHEN,TASS,259
LAND,ONTO,2677
INTO,HASH,1310
FOOL,SAYS,4857
WASH,SALE,12989
WHAT,KIND,4003619
FEET,WERE,578974
WITH,APPN,284
REAL,BAND,2938
THAT,PLAY,368778
SAKE,FELT,65
RATE,WITH,288293
BEST,GIGS,280
POOR,FREE,5080
JUST,FACT,1506
LANE,HEAD,708
ONLY,ITEM,39351
FELL,HACK,1464
DUMB,CANE,3168
THEI,SAME,196
DEEP,ENOW,63
WHEN,THTY,298
POLY,CARP,3678
OFTE,TYME,996
BEDS,REST,3600
TONE,THAT,371914
TUNG,LONG,57
TIRE,WHEN,4038
WITH,TIRU,88
PAGE,FREE,2053
THAT,SEEK,252859
KYLE,SAYS,1353
THAI,VIEW,809
TLIE,TIME,3296
BELL,FROM,34796
WITH,GERD,8002
AVOW,THAT,39123
WEEK,PICK,142
ALSO,TRUK,47
EVER,BEEN,3814565
LEFT,IOWA,3463
GUNS,REAL,74
TIES,WELL,521
WEBS,VARY,182
AGED,HAVE,13480
IDEA,TILL,3331
OVER,BODY,31330
JUNE,WITH,40914
MOON,TUGS,156
PLUS,HIGH,9257
MUCH,CANT,2035
MAAD,REDI,62
DAMS,THAT,20286
BEEN,HAIG,242
HOOP,STAR,145
DAYS,WERE,1048933
IRIS,PARK,73
BOTH,AHAD,92
INTL,ARCH,55
GONG,THAT,4079
MONA,LIZA,268
HAVE,DOGS,13562
GIVE,REAL,28121
IRON,KIDS,65
THIS,MADE,1023049
FAST,HAND,1840
TASK,WITH,270959
WERE,SLOW,271274
WITH,REST,79627
DEAR,ALMA,1391
OWNE,TALE,148
MANY,CAME,87583
WANT,SUCH,55853
INCH,STAR,904
OPEN,WORK,33557
DORR,WILL,94
OPEN,ONTO,40936
ONLY,SINK,5740
ALSO,LORD,29335
WEBB,WILL,1752
VEUT,NOUS,1134
MACY,TOOK,392
TUNA,SWIM,351
HURT,YOUR,122906
TAME,AREA,55
THEN,WANT,31169
WIFE,LACI,115
DEBT,WERE,34345
LAST,WAVE,27515
HOUR,POUR,220
BARE,FIST,2680
RUGS,GONE,45
DUAL,CODE,3119
DOOR,SHUT,244487
GODS,LIKE,20885
DOWN,UPON,2056686
SUNG,SINK,1320
SIDE,SPUN,92
THAT,LOAN,43903
THAT,RUNS,750066
LUSH,TIME,171
GOOD,EVEN,72043
TYPE,COOL,165
WILD,BETS,222
TALL,ONES,12424
THAT,EGGS,30490
MULE,BARN,1603
SONS,DEAD,1755
GROW,MUCH,50315
BEEN,MADE,17401217
JOHN,LEON,899
BEEN,HOME,167864
LIFE,AREA,4966
LOSE,THEM,156949
FREE,LIKE,15692
HEEN,LOST,982
PAUL,DALY,313
MOON,HARE,329
DIRE,LACK,1446
BEEN,THAT,1896009
QUOS,MIHI,463
USES,BITS,1092
WEIT,GING,111
THAT,ALMA,10989
GOOD,LIFE,871591
IILL,BOOK,164
LAKE,USED,2963
THAN,SAID,15334
DAMS,LEFT,94
MANN,OVER,250
FITT,THEM,536
HOEY,ALSO,50
TOIL,WENT,874
STEP,ONCE,7469
BARK,MAKE,707
BUMP,MADE,394
EVER,FALL,33313
DOES,WHAT,363696
VERB,FORM,105507
WEAK,AXIS,4359
WHEN,DOPA,202
VASA,HAVE,129
EACH,ZONE,117822
MANY,WAYS,4413557
SMAS,FROM,72
OAKS,HUNG,683
LIKE,ECHO,4312
YEAR,TREK,1544
REMY,TOLD,333
FORM,RIBS,752
SOME,OMIT,1548
BIRD,BACK,6309
VITO,KAPO,110
ADDS,HEFT,69
FORT,FELL,4970
EVEN,IOWA,587
MUCH,EACH,67366
THEN,SEEK,77156
HAVE,READ,2216343
LEUR,ETAT,1834
ADAN,SAYS,121
HARM,MOST,1307
FROM,GICK,66
SAYS,HOLD,766
MANY,EONS,4538
STOP,RAIN,2077
LACY,GRAY,203
THEY,LIKE,1155176
POLE,EVEN,942
WEIR,CAME,609
READ,DIED,826
FINE,LADY,81258
USES,DYES,215
GOOD,SEED,119414
LAWS,THAT,1086122
WEGE,GIBT,73
GIRL,HAVE,22155
THAT,CNTF,471
DEAD,BOSS,392
MORE,HERE,80273
TANK,TRAP,2824
BEEN,BARE,5885
FELT,HART,57
TIAN,WERE,172
HAND,LOOM,22333
LILY,PONS,9936
FIND,LONG,12165
HALF,SEAS,4669
LEFT,PART,71049
FROM,FORD,40493
WORD,NOEL,113
MAIL,TREE,90
EVEN,CEOS,701
WILD,PLAY,3494
PLAY,FAIR,47514
ALSO,FELL,128349
WHEN,VIET,1099
ROLE,HERE,76003
CUBS,LEAD,88
DEEP,LEAF,1194
BEEN,HAVE,6422
ACTH,FROM,5931
LAST,EQUA,77
SPIT,LIKE,2598
DESK,FULL,2461
VERY,WEEK,25359
DEWS,FALL,2767
THEN,WINK,936
MARY,ADYE,123
DIES,FROM,57201
POOR,GENT,189
DIET,DRUG,2649
WORM,MUST,3170
KARL,SHUT,76
THIS,YOUR,236839
INTO,ANTI,21657
TAVY,FROM,42
COME,BARE,587
FELL,ARSE,89
THEY,PURE,1649
MATE,SANG,552
CORN,THIS,4883
FROM,ANTI,65854
FEET,VARY,1060
HALL,BULB,102
SLAM,MADE,136
TRUE,VOID,863
JOBY,SAID,970
GONE,FOUR,9305
LIST,SALT,91
CAME,NEAR,533289
CESS,FROM,1580
TEAM,WHOM,1038
WITH,TOWS,891
NAUK,BSSR,930
COME,NEXT,192816
THAT,FAST,106109
FEET,FOUR,75132
FLAG,SIGN,960
PUMP,LOAD,782
ABER,NOCH,12149
BARS,FROM,40668
REIN,ONLY,939
WITH,WRIT,1646
WHAT,LOOM,169
HURT,QUIT,53
MOCK,BILL,209
DOGS,HUNG,808
DATA,NODE,3432
PATH,WORN,3966
UNIT,FUSE,64
